email_text,label
Re: Partnership Opportunity with TechCorp,Interested
Quick question about your software solutions,Meeting Booked
Following up on our conversation,Not Interested
URGENT: Claim your FREE iPhone now!,Spam
Out of Office: Will return Monday,Out of Office
Re: Your marketing automation needs,Interested
Thanks for the demo - let's schedule next steps,Meeting Booked
Not the right fit for us currently,Not Interested
"$$$ MAKE MONEY FAST $$$",Spam
Auto-reply: Currently on vacation,Out of Office
Exploring cloud migration options,Interested
Available Tuesday 2pm for the call,Meeting Booked
We've decided to go with another vendor,Not Interested
You've won a million dollars! Click here!,Spam
Automatic reply: Out until January 15th,Out of Office
Re: CRM integration discussion,Interested
Confirmed: Meeting tomorrow at 10am,Meeting Booked
Thanks but we're not looking right now,Not Interested
Hot singles in your area!,Spam
I'm currently out of the office,Out of Office
Tell me more about your pricing,Interested
Calendar invite sent for Thursday,Meeting Booked
This doesn't align with our priorities,Not Interested
CONGRATULATIONS! You're our lucky winner!,Spam
Away message: Attending conference this week,Out of Office
Interested in learning about your platform,Interested
Meeting confirmed for next Tuesday,Meeting Booked
We're happy with our current solution,Not Interested
Limited time offer - Act now!,Spam
Out of office reply: Back on the 20th,Out of Office
Can you send more information?,Interested
Let's connect next week - I'll send invite,Meeting Booked
Not interested in this type of service,Not Interested
Your account has been suspended! Verify now!,Spam
Automated response: On parental leave,Out of Office
This could be relevant for our Q2 planning,Interested
Booked 30 minutes on your calendar,Meeting Booked
Please remove me from your mailing list,Not Interested
URGENT: Update your payment information,Spam
Auto-reply: At client site all week,Out of Office
We're evaluating similar solutions,Interested
Looking forward to our demo tomorrow,Meeting Booked
Not something we need at this time,Not Interested
Free trial - No credit card required!,Spam
Currently traveling - back Monday,Out of Office
Let's discuss this further,Interested
Meeting invite accepted for Friday,Meeting Booked
We already have this covered internally,Not Interested
Shocking news about your local area!,Spam
Out of office: Sick leave until further notice,Out of Office
This might help with our digital transformation,Interested
Ready for the call at 3pm today,Meeting Booked
Thanks but our budget is allocated elsewhere,Not Interested
BREAKING: Celebrity scandal exposed!,Spam
Automatic reply: On business trip,Out of Office
Can we set up a brief call?,Interested
Calendar blocked for our meeting Wednesday,Meeting Booked
This isn't a priority for us right now,Not Interested
Work from home opportunity - $5000/week!,Spam
Away from office: Family emergency,Out of Office
Forwarding to our procurement team,Interested
Confirmed: Demo scheduled for next Thursday,Meeting Booked
We've paused all new vendor evaluations,Not Interested
Your package couldn't be delivered!,Spam
Out of office message: Sabbatical until June,Out of Office
This aligns with our strategic goals,Interested
Meeting request sent - please confirm,Meeting Booked
Not the right timing for our organization,Not Interested
Lonely? Find your perfect match today!,Spam
Auto-response: Medical leave,Out of Office
I'd like to learn more about implementation,Interested
All set for tomorrow's presentation,Meeting Booked
We're satisfied with our current provider,Not Interested
IRS refund pending - claim immediately!,Spam
Currently out: Attending training program,Out of Office
This could solve our compliance issues,Interested
Reschedule confirmed for Monday morning,Meeting Booked
Not applicable to our industry sector,Not Interested
Cryptocurrency investment opportunity!,Spam
Away message: Jury duty this week,Out of Office
Please send case studies from similar companies,Interested
Teams meeting link shared for Tuesday,Meeting Booked
We don't work with third-party vendors,Not Interested
Your social media account compromised!,Spam
Out of office: Maternity leave,Out of Office
Looks promising for our upcoming project,Interested
WebEx details confirmed for Thursday,Meeting Booked
Thanks for reaching out but not interested,Not Interested
Male enhancement pills - discreet shipping!,Spam
Auto-reply: Bereavement leave,Out of Office
Can you provide ROI calculations?,Interested
Zoom meeting set up for Friday afternoon,Meeting Booked
This falls outside our core business needs,Not Interested
Final notice: Your warranty expires today!,Spam
Out of office reply: Honeymoon in Europe,Out of Office
Discussing with stakeholders - looks good,Interested
Phone conference scheduled for 11am,Meeting Booked
We have an exclusive contract with competitors,Not Interested
Diet pills that actually work!,Spam
Away: Attending industry conference,Out of Office
Need to understand integration requirements,Interested
Meeting location changed to Conference Room B,Meeting Booked
Our IT department handles this internally,Not Interested
You've been selected for a special offer!,Spam
Automated message: On extended sick leave,Out of Office
What's your implementation timeline?,Interested
Looking forward to the product demo,Meeting Booked
We're downsizing and cutting expenses,Not Interested
Earn $500 daily from home!,Spam
Out of office: Volunteer work abroad,Out of Office
This could streamline our operations,Interested
Meeting reminder: Tomorrow at 2pm,Meeting Booked
Not authorized to make purchasing decisions,Not Interested
ALERT: Suspicious activity on your account!,Spam
Currently unavailable: Military deployment,Out of Office
Let me loop in our technical team,Interested
Conference call dial-in details attached,Meeting Booked
We're committed to our existing platform,Not Interested
Get rich quick with this secret method!,Spam
Away message: Semester abroad program,Out of Office
This might address our scalability concerns,Interested
Appointment confirmed in my calendar,Meeting Booked
Thanks but we're restructuring right now,Not Interested
Local singles want to meet you!,Spam
Out of office: Caring for sick relative,Out of Office
Interested in a pilot program,Interested
Meeting moved to virtual format,Meeting Booked
We don't have budget for this category,Not Interested
Miracle weight loss solution revealed!,Spam
Auto-response: Research sabbatical,Out of Office
Can we discuss pricing and terms?,Interested
Screen sharing session set for Wednesday,Meeting Booked
This isn't something we're evaluating,Not Interested
Your computer may be infected! Scan now!,Spam
Currently out: Attending wedding,Out of Office
Need to see a proof of concept,Interested
Demo rescheduled to accommodate team,Meeting Booked
We're locked into current contracts,Not Interested
FREE iPhone - Just pay shipping!,Spam
Away: Court appearance required,Out of Office
This fits our digital strategy roadmap,Interested
Video call confirmed for Monday morning,Meeting Booked
Our board doesn't approve external tools,Not Interested
URGENT: Bank account verification needed!,Spam
Out of office: Attending funeral services,Out of Office
What kind of support do you provide?,Interested
Teams meeting invite sent and accepted,Meeting Booked
We prefer to build solutions in-house,Not Interested
Nigerian prince needs your help!,Spam
Auto-reply: Emergency family situation,Out of Office
This could help with our compliance audit,Interested
In-person meeting scheduled at our office,Meeting Booked
We're not taking on new vendors currently,Not Interested
You've won our sweepstakes! Claim prize!,Spam
Currently traveling: Back next month,Out of Office
Let's explore customization options,Interested
Lunch meeting confirmed for Thursday,Meeting Booked
This doesn't match our technical requirements,Not Interested
Pharmaceutical discounts - no prescription!,Spam
Away message: Speaking at conference,Out of Office
Can you share client testimonials?,Interested
Site visit scheduled for next week,Meeting Booked
We're happy with our current workflow,Not Interested
Investment opportunity - guaranteed returns!,Spam
Out of office: Completing doctoral thesis,Out of Office
This addresses our pain points well,Interested
Workshop session booked for Friday,Meeting Booked
Not something our CEO would approve,Not Interested
Russian brides looking for marriage!,Spam
Auto-response: Extended medical treatment,Out of Office
What's your data migration process?,Interested
Follow-up call scheduled after the demo,Meeting Booked
We don't use cloud-based solutions,Not Interested
Your lottery ticket won $10 million!,Spam
Currently unavailable: Sabbatical year,Out of Office
This could reduce our operational costs,Interested
Strategy session planned for Tuesday,Meeting Booked
Thanks but we're going a different direction,Not Interested
Debt consolidation - call now!,Spam
Away: Attending daughter's graduation,Out of Office
Need to understand security features,Interested
Quarterly review meeting confirmed,Meeting Booked
We've already invested heavily elsewhere,Not Interested
Celebrity endorses this amazing product!,Spam
Out of office: Recovering from surgery,Out of Office
This aligns with our innovation goals,Interested
Product walkthrough scheduled,Meeting Booked
Not compatible with our existing systems,Not Interested
Your credit score needs immediate attention!,Spam
Auto-reply: Studying for certification,Out of Office
Can we schedule a technical deep dive?,Interested
Executive briefing meeting set up,Meeting Booked
We prefer working with local companies,Not Interested
Hot stock tip - buy before it explodes!,Spam
Currently out: Volunteer disaster relief,Out of Office
This could improve our customer experience,Interested
All-hands meeting to discuss your proposal,Meeting Booked
We're in a hiring freeze right now,Not Interested
Make thousands while you sleep!,Spam
Away message: Teaching abroad program,Out of Office
Forwarding to our legal team for review,Interested
Contract negotiation meeting scheduled,Meeting Booked
This isn't in our strategic plan,Not Interested
URGENT: Your package is being returned!,Spam
Out of office: Attending grandson's birth,Out of Office
This could solve our integration challenges,Interested
Pilot program kickoff meeting confirmed,Meeting Booked
We're mandated to use government solutions,Not Interested
Work from home - no experience needed!,Spam
Auto-response: Taking mental health break,Out of Office
What's your disaster recovery approach?,Interested
Implementation planning session booked,Meeting Booked
Our compliance team rejected similar tools,Not Interested
Your Amazon account suspended! Verify now!,Spam
Currently traveling: Documentary filming,Out of Office
This could enhance our reporting capabilities,Interested
Stakeholder presentation scheduled,Meeting Booked
We don't have the internal resources,Not Interested
Illegal movie downloads - free access!,Spam
Away: Attending brother's wedding,Out of Office
Need to see benchmarking data,Interested
Training session confirmed for new users,Meeting Booked
This isn't something we can justify ROI on,Not Interested
Your computer warranty expired - renew now!,Spam
Out of office: Guest lecturer position,Out of Office
This fits our sustainability initiatives,Interested
Board presentation meeting arranged,Meeting Booked
We're consolidating vendors not adding,Not Interested
Get paid to test products from home!,Spam
Auto-reply: Attending meditation retreat,Out of Office
Can you provide references from our industry?,Interested
Technical requirements gathering session,Meeting Booked
Our parent company has different policies,Not Interested
Shocking celebrity news - click for details!,Spam
Currently unavailable: Writing book,Out of Office
This could accelerate our digital transformation,Interested
Proof of concept demonstration booked,Meeting Booked
We're focused on organic growth strategies,Not Interested
Your subscription expires today - renew!,Spam
Away message: Archaeological expedition,Out of Office
What's your approach to data privacy?,Interested
Vendor evaluation committee meeting set,Meeting Booked
This doesn't fit our risk tolerance,Not Interested
Free vacation - just attend our presentation!,Spam
Out of office: Caring for newborn twins,Out of Office
This could improve our competitive advantage,Interested
Solution architecture review scheduled,Meeting Booked
We're required to use union-approved vendors,Not Interested
Your Netflix password compromised!,Spam
Auto-response: Serving on jury duty,Out of Office
Need to understand your SLA commitments,Interested
Change management workshop booked,Meeting Booked
This goes against our open-source philosophy,Not Interested
Your tax refund is waiting - claim now!,Spam
Currently out: Climate change research,Out of Office
This could streamline our approval processes,Interested
Executive sponsor meeting confirmed,Meeting Booked
We don't outsource critical functions,Not Interested
Make money clicking ads - start today!,Spam
Away: Attending sister's graduation,Out of Office
Can we discuss implementation methodology?,Interested
User acceptance testing session planned,Meeting Booked
Our IT security team prohibits cloud tools,Not Interested
Your credit card bill is overdue!,Spam
Out of office: Attending art residency,Out of Office
This addresses our audit findings perfectly,Interested
Requirements finalization meeting booked,Meeting Booked
We're committed to our current technology stack,Not Interested
Win an iPad - just complete our survey!,Spam
Auto-reply: Sabbatical for personal growth,Out of Office
What's your approach to change management?,Interested
Go-live planning session confirmed,Meeting Booked
This doesn't align with our corporate values,Not Interested
Your Windows license expired - update now!,Spam
Currently traveling: Peace Corps assignment,Out of Office
This could help us meet regulatory requirements,Interested
Post-implementation review meeting set,Meeting Booked
We prefer solutions with local support,Not Interested
Get a loan even with bad credit!,Spam
Away message: Attending father's funeral,Out of Office
Need to evaluate total cost of ownership,Interested
Steering committee meeting scheduled,Meeting Booked
This requires too much organizational change,Not Interested
Your PayPal account limited - verify identity!,Spam
Out of office: Completing military service,Out of Office
This could enhance our customer satisfaction,Interested
Vendor selection meeting confirmed,Meeting Booked
We're not ready for this level of innovation,Not Interested
Home security system - free installation!,Spam
Auto-response: Extended bereavement leave,Out of Office
Can you provide a detailed implementation plan?,Interested
Final decision meeting booked with executives,Meeting Booked
Our shareholders wouldn't approve this expense,Not Interested
Your Google account hacked - secure now!,Spam
Currently unavailable: Studying medicine abroad,Out of Office
This aligns with our cost reduction initiatives,Interested
Contract signing ceremony scheduled,Meeting Booked
We've decided to delay all technology investments,Not Interested
Earn $1000 weekly stuffing envelopes!,Spam
Away: Attending environmental summit,Out of Office
What's your approach to user training?,Interested
Project kickoff meeting confirmed,Meeting Booked
This isn't compatible with our legacy systems,Not Interested
Your smartphone eligible for free upgrade!,Spam
Out of office: Honeymoon in Asia,Out of Office
This could improve our operational efficiency,Interested
Weekly status meeting series established,Meeting Booked
We're undergoing a merger and can't commit,Not Interested
Survey says you could win $5000!,Spam
Auto-reply: On spiritual retreat,Out of Office
Need to understand your support escalation process,Interested
Phase 1 delivery meeting scheduled,Meeting Booked
Our board prefers organic solution development,Not Interested
Your email account storage almost full!,Spam
Currently out: Teaching English overseas,Out of Office
This could help us achieve our sustainability goals,Interested
Quality assurance review meeting booked,Meeting Booked
We're committed to supporting local businesses only,Not Interested
Your social security benefits at risk!,Spam
Away message: Attending culinary school,Out of Office
Can we explore a phased implementation approach?,Interested
Lessons learned session confirmed,Meeting Booked
This exceeds our approved technology budget,Not Interested
Free cruise - you've been specially selected!,Spam
Out of office: Competing in marathon,Out of Office
This addresses our scalability concerns perfectly,Interested
Success metrics review meeting planned,Meeting Booked
We can't justify the learning curve to management,Not Interested
Your mortgage rate could be reduced!,Spam
Auto-response: Attending language immersion program,Out of Office
What's your data backup and recovery strategy?,Interested
Performance optimization workshop scheduled,Meeting Booked
This doesn't fit our risk management framework,Not Interested
Your iTunes account charged - dispute now!,Spam
Currently traveling: Documentary research,Out of Office
This could revolutionize our customer service,Interested
Advanced features training session booked,Meeting Booked
We're prohibited from using foreign-hosted solutions,Not Interested
Get diploma without studying - accredited!,Spam
Away: Attending daughter's wedding,Out of Office
Need to see integration with our CRM system,Interested
Quarterly business review meeting set,Meeting Booked
This requires board approval we can't obtain,Not Interested
Your antivirus expired - computer at risk!,Spam
Out of office: Volunteer teaching in Africa,Out of Office
This could transform our reporting capabilities,Interested
Annual contract review meeting confirmed,Meeting Booked
We're mandated to use only certified vendors,Not Interested
Your Facebook account hacked - verify now!,Spam
Auto-reply: Attending space camp with kids,Out of Office
Can you provide industry-specific customizations?,Interested
Platform migration planning meeting booked,Meeting Booked
This doesn't meet our accessibility requirements,Not Interested
Work-at-home job opportunity - apply now!,Spam
Currently unavailable: Hiking Appalachian Trail,Out of Office
This aligns with our customer-first strategy,Interested
Upgrade deployment meeting scheduled,Meeting Booked
We prefer solutions that integrate with Oracle,Not Interested
Your electricity bill can be reduced 50%!,Spam
Away message: Studying abroad in Japan,Out of Office
What's your approach to handling peak loads?,Interested
Disaster recovery testing session planned,Meeting Booked
This isn't something our users would adopt,Not Interested
Investment seminar - learn to get rich!,Spam
Out of office: Attending grandson's baptism,Out of Office
This could improve our time-to-market significantly,Interested
ROI analysis presentation meeting booked,Meeting Booked
We're focused on reducing vendor complexity,Not Interested
Your cable/internet bill is too high!,Spam
Auto-response: Volunteer disaster response,Out of Office
Need to understand your multi-tenant architecture,Interested
Technical debt reduction planning meeting,Meeting Booked
This goes against our simplification strategy,Not Interested
Your prescription medications at discount prices!,Spam
Currently out: Attending meditation retreat,Out of Office
This could enhance our competitive positioning,Interested
Innovation showcase meeting confirmed,Meeting Booked
We're committed to our current roadmap priorities,Not Interested
Your computer infected with 2847 viruses!,Spam
Away: Attending cousin's college graduation,Out of Office
Can we discuss your mobile app capabilities?,Interested
Digital transformation steering committee meeting,Meeting Booked
This doesn't support our remote work requirements,Not Interested
Your car warranty about to expire!,Spam
Out of office: Completing PhD dissertation,Out of Office
This addresses our automation needs perfectly,Interested
Future state architecture meeting scheduled,Meeting Booked
We can't support another vendor relationship,Not Interested
Your refund check is ready - claim now!,Spam
Auto-reply: Attending family reunion,Out of Office
What's your approach to API rate limiting?,Interested
Solution roadmap alignment meeting booked,Meeting Booked
This requires infrastructure we don't have,Not Interested
Free government grants available - apply!,Spam
Currently traveling: Archaeological dig site,Out of Office
This could streamline our entire workflow,Interested
Partnership agreement finalization meeting,Meeting Booked
We're not authorized to evaluate new technologies,Not Interested
Your lucky numbers for tonight's lottery!,Spam
Away message: Attending therapeutic retreat,Out of Office
I'm very interested in learning more.,Interested
You’ve won a free vacation!,Spam
Looking forward to working with you.,Interested
Out of office until next week.,Out of Office
The meeting is confirmed for tomorrow.,Meeting Booked
Not looking for this service right now.,Not Interested
Click here to claim your prize.,Spam
We'll pass this time.,Not Interested
This isn't something we need.,Not Interested
"Exclusive offer, act now!",Spam
Get rich quick with this one simple trick!,Spam
Please send over the details.,Interested
See you at the meeting on Friday.,Meeting Booked
See you at the meeting on Friday.,Meeting Booked
I've scheduled a meeting using your link.,Meeting Booked
This is an automated response.,Out of Office
This isn't something we need.,Not Interested
"Exclusive offer, act now!",Spam
Thanks for booking the meeting.,Meeting Booked
I'm very interested in learning more.,Interested
Let's connect and explore further.,Interested
This sounds like something we're looking for.,Interested
Click here to claim your prize.,Spam
I'm very interested in learning more.,Interested
Please remove me from your list.,Not Interested
I'm very interested in learning more.,Interested
This isn't something we need.,Not Interested
Currently away from email.,Out of Office
I'm currently out of office.,Out of Office
We're not interested at the moment.,Not Interested
I'm currently out of office.,Out of Office
Thanks for booking the meeting.,Meeting Booked
Not looking for this service right now.,Not Interested
I'm currently out of office.,Out of Office
I’ll be back on Monday.,Out of Office
We're not interested at the moment.,Not Interested
Thanks for booking the meeting.,Meeting Booked
We'll pass this time.,Not Interested
Looking forward to working with you.,Interested
This sounds like something we're looking for.,Interested
Click here to claim your prize.,Spam
You’ve won a free vacation!,Spam
I’ll be back on Monday.,Out of Office
This isn't something we need.,Not Interested
Out of office until next week.,Out of Office
This is an automated response.,Out of Office
This sounds like something we're looking for.,Interested
Out of office until next week.,Out of Office
This sounds like something we're looking for.,Interested
Let's connect and explore further.,Interested
Click here to claim your prize.,Spam
We'll pass this time.,Not Interested
"Limited time deal, don't miss out!",Spam
Out of office until next week.,Out of Office
Out of office until next week.,Out of Office
I'm currently out of office.,Out of Office
Please send over the details.,Interested
Please send over the details.,Interested
"Limited time deal, don't miss out!",Spam
We're not interested at the moment.,Not Interested
We'll pass this time.,Not Interested
This isn't something we need.,Not Interested
Let's connect and explore further.,Interested
"Exclusive offer, act now!",Spam
This isn't something we need.,Not Interested
I'm very interested in learning more.,Interested
This isn't something we need.,Not Interested
Let's connect and explore further.,Interested
You’ve won a free vacation!,Spam
Looking forward to our call.,Meeting Booked
Let's connect and explore further.,Interested
Thanks for booking the meeting.,Meeting Booked
Looking forward to working with you.,Interested
I'm currently out of office.,Out of Office
I’ll be back on Monday.,Out of Office
